37.964,6.673,-0.1187,-1.1254,0.44041,0.1652,2.8338,7.3596e-05,-0.14012
38.166,6.6403,-0.12849,-1.1254,0.40915,0.17332,2.6688,6.9738e-05,-0.14421
38.383,6.6382,-0.14255,-1.1254,0.37276,0.18773,2.474,6.5752e-05,-0.15392
38.596,6.6759,-0.15791,-1.1254,0.3376,0.20115,2.2627,6.1994e-05,-0.16821
38.782,6.7428,-0.17086,-1.1253,0.30979,0.20663,2.0582,5.8737e-05,-0.18371
38.923,6.8134,-0.17936,-1.1253,0.29209,0.20354,1.8907,5.6237e-05,-0.19654
39.007,6.8619,-0.1835,-1.1253,0.28353,0.1978,1.7875,5.4744e-05,-0.2042
39.027,6.8743,-0.18438,-1.1253,0.28171,0.19593,1.7623,5.4383e-05,-0.20602
39.078,6.9064,-0.18639,-1.1253,0.27756,0.1903,1.6981,5.3468e-05,-0.21056
39.192,6.9835,-0.18967,-1.1253,0.27066,0.1725,1.5499,5.1377e-05,-0.22033
39.358,7.1028,-0.19093,-1.1253,0.26729,0.13262,1.3283,4.8257e-05,-0.2325
39.559,7.2467,-0.18594,-1.1253,0.27473,0.060055,1.0564,4.4353e-05,-0.24188
39.777,7.3779,-0.17158,-1.1253,0.29686,-0.047732,0.77202,4.0016e-05,-0.24225
39.989,7.4537,-0.14815,-1.1253,0.33016,-0.17734,0.52008,3.5656e-05,-0.23023
40.175,7.4548,-0.1205,-1.1253,0.3647,-0.30216,0.33342,3.1704e-05,-0.20878
40.317,7.4042,-0.096019,-1.1253,0.39086,-0.39691,0.21933,2.8601e-05,-0.18619
40.401,7.3515,-0.080798,-1.1252,0.40488,-0.4498,0.16485,2.6736e-05,-0.17086
40.421,7.3363,-0.077107,-1.1252,0.40799,-0.46199,0.15321,2.6069e-05,-0.18908
40.463,7.3016,-0.069429,-1.1252,0.4141,-0.48656,0.13077,2.5413e-05,-0.14961
40.558,7.2067,-0.052235,-1.1252,0.42562,-0.53747,0.088871,2.3138e-05,-0.14705
40.698,7.032,-0.029205,-1.1252,0.43505,-0.59675,0.048343,2.0031e-05,-0.10405
40.873,6.769,-0.0082461,-1.1252,0.4306,-0.6365,0.027005,1.6125e-05,-0.088354
41.067,6.4501,0,-1.1252,0.40138,-0.62994,0.023085,1.2074e-05,-0.024476
41.265,6.0916,0,-1.1252,0.34273,-0.56286,0.023533,8.2173e-06,0.070523
41.451,5.7114,0,-1.1252,0.25817,-0.43815,0.023093,4.8306e-06,0.26733
41.61,5.3446,0,-1.1252,0.16006,-0.27745,0.023961,2.5318e-06,0.35633
41.729,5.1152,-0.025216,-1.1252,0.070865,-0.12417,0.018123,1.0869e-06,0.2872
41.798,5.018,-0.051833,-1.1252,0.014057,-0.02476,0.0044953,2.1293e-07,0.23961
41.815,5,-0.059678,-1.1252,0,0,0,6.6182e-10,0.2275
